CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
ct full-width image with left text,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct full-width image with right text,ct text half right,,top,Padding A,,,,,,,,,,,,,,,,,
ct full-width image with right text,ct text half right,,bottom,Padding A,,,,,,,,,,,,,,,,,
ct full-width image with right text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct full-width image with right text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct text + image,ct text half left,,top,Padding A,,,,,,,,,,,,,,,,,
ct text + image,ct text half left,,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + image,ct text half left,,left,?,,,,,,,,,,,,,,,,,
ct text + image,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct image + text,ct text half right,,top,Padding A,,,,,,,,,,,,,,,,,
ct image + text,ct text half right,,bottom,Padding A,,,,,,,,,,,,,,,,,
ct image + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct image + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct text + text,ct text half left,,top,Padding A,,,,,,,,,,,,,,,,,
ct text + text,ct text half left,,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + text,ct text half left,,left,?,,,,,,,,,,,,,,,,,
ct text + text,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct text + text,ct text half right,,top,Padding A,,,,,,,,,,,,,,,,,
ct text + text,ct text half right,,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct text + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 1),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 1),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 1),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 1),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 1),image pagination,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 2),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 2),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 2),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 2),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct text + image carousel,ct text + image carousel (variant 2),image pagination,bottom,Padding E,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 1),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 1),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 1),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 1),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 1),image pagination,bottom,Padding E,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 2),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 2),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 2),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 2),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct image carousel + text,ct image carousel + text (variant 2),image pagination,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 1),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 1),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 1),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 1),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 2),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 2),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 2),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + quote carousel,ct text + quote carousel (variant 2),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 1),quote container,top,Padding B,,,,,,,,,,,,,,,,,
