"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
heading 5a,profiles grid,profiles grid - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 1) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 2) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 1) - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 1) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 2) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 2) - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 1) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 2) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 3) - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 1) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 2) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles carousel,profiles carousel (variant 4) - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,profiles directory,profiles filtered grid - clear filters text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,profiles directory,profiles filtered grid - dropdown text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles directory,profiles filtered grid - page text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,profiles directory,profiles filtered grid - search text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),profiles directory,profiles filtered grid - x of y text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles directory,profiles filtered grid - card,profile card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles directory,profiles filtered grid - card,profile card (variant 1) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,profiles directory,profiles filtered grid - card,profile card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,profiles directory,profiles filtered grid - card,profile card (variant 2) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,profiles directory,profiles filtered grid - card,profile card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,profiles directory,profiles filtered grid - card,profile card (variant 3) - name,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - clear filters (hover) text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - dropdown arrow (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - dropdown background (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - dropdown text (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - filters reset icon (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - next/previous page (disabled),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - next/previous page (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - search arrow (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - search icon (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,profiles directory,profiles filtered grid - search text (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct cards + text,ct cards half (left),card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct cards + text,ct cards half (left),card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct cards + text,ct cards half (left),card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct cards + text,ct cards half (left),card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
