"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
body copy a (bold),stories carousel,stories carousel (variant 1) - card,story card (variant 2) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 1) - card,story card (variant 2) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 1) - card,story card (variant 3) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories carousel,stories carousel (variant 1) - card,story card (variant 3) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 1) - card,story card (variant 3) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 1) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories carousel,stories carousel (variant 2) - card,story card (variant 1) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 1) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 2) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories carousel,stories carousel (variant 2) - card,story card (variant 2) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 2) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 3) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories carousel,stories carousel (variant 2) - card,story card (variant 3) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories carousel,stories carousel (variant 2) - card,story card (variant 3) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,stories carousel,stories carousel (variant 1) - heading,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,stories carousel,stories carousel (variant 2) - heading,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,stories carousel,stories carousel (variant 1) - button text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,stories carousel,stories carousel (variant 2) - button text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,stories end-of-page,stories carousel end-of-page - heading,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,stories end-of-page,stories carousel end-of-page - button text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 1) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories end-of-page,stories carousel end-of-page - card,story card (variant 1) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 1) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 2) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories end-of-page,stories carousel end-of-page - card,story card (variant 2) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 2) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 3) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),stories end-of-page,stories carousel end-of-page - card,story card (variant 3) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stories end-of-page,stories carousel end-of-page - card,story card (variant 3) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stats carousel,stats carousel (variant 1) - card,stat - description,Pass,Pass,Pass,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,stats carousel,stats carousel (variant 1) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,stats carousel,stats carousel (variant 1) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stats carousel,stats carousel (variant 2) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,stats carousel,stats carousel (variant 2) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,stats carousel,stats carousel (variant 2) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stats carousel,stats carousel (variant 3) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,stats carousel,stats carousel (variant 3) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,stats carousel,stats carousel (variant 3) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stats carousel,stats carousel (variant 4) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,stats carousel,stats carousel (variant 4) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,stats carousel,stats carousel (variant 4) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct stats + text,ct stats half (left) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct stats + text,ct stats half (left) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct stats + text,ct stats half (left) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + stats,ct stats half (right) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + stats,ct stats half (right) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct text + stats,ct stats half (right) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,stats grid,stats grid - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,stats grid,stats grid - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,stats grid,stats grid - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 1) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,portals carousel,portal icon carousel (variant 1) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 1) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 2) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,portals carousel,portal icon carousel (variant 2) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 2) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 3) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,portals carousel,portal icon carousel (variant 3) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 3) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 4) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,portals carousel,portal icon carousel (variant 4) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals carousel,portal icon carousel (variant 4) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,ct portals + text,ct portal icons half (left) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,ct portals + text,ct portal icons half (left) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,ct portals + text,ct portal icons half (left) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,ct text + portals,ct portal icons half (right) - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,ct text + portals,ct portal icons half (right) - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,ct text + portals,ct portal icons half (right) - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals grid,portal icons grid - card,portal icon (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo a,portals grid,portal icons grid - card,portal icon (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
promo b,portals grid,portal icons grid - card,portal icon (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 1) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 1) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 1) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 1) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,promos carousel,promos carousel (variant 1) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,promos carousel,promos carousel (variant 1) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 2) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 2) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 2) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 2) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,promos carousel,promos carousel (variant 2) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,promos carousel,promos carousel (variant 2) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 3) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 3) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 3) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 3) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,promos carousel,promos carousel (variant 3) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,promos carousel,promos carousel (variant 3) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 4) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 4) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos carousel,promos carousel (variant 4) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos carousel,promos carousel (variant 4) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,promos carousel,promos carousel (variant 4) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,promos carousel,promos carousel (variant 4) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct promos half (left) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct promos + text,ct promos half (left) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct promos half (left) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct promos + text,ct promos half (left) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct promos + text,ct promos half (left) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct promos + text,ct promos half (left) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + promos,ct promos half (right) - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + promos,ct promos half (right) - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + promos,ct promos half (right) - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + promos,ct promos half (right) - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + promos,ct promos half (right) - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct text + promos,ct promos half (right) - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos grid,promos grid - card,promo (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos grid,promos grid - card,promo (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos grid,promos grid - card,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos grid,promos grid - card,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,promos grid,promos grid - card,promo (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,promos grid,promos grid - card,promo (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,promos end-of-page,promos - end-of-page,promo (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,promos end-of-page,promos - end-of-page,promo (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image,ct image half (left) - text,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + image,ct image half (left) - text,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + image,ct image half (left) - text,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + image,ct image half (left) - text,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + image,ct image half (left) - text,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + image,ct image half (left) - text,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + image,ct image half (left) - text,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image,ct image half (left) - text,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + image,ct image half (left) - text,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + image,ct image half (left) - text,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image,ct image half (left) - text,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image,ct image half (left) - text,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + image,ct image half (left) - text,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image,ct image half (left) - text,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image,ct image half (left) - text,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + text,ct image half (right) - text,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct image + text,ct image half (right) - text,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct image + text,ct image half (right) - text,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct image + text,ct image half (right) - text,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct image + text,ct image half (right) - text,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct image + text,ct image half (right) - text,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct image + text,ct image half (right) - text,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + text,ct image half (right) - text,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct image + text,ct image half (right) - text,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct image + text,ct image half (right) - text,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image + text,ct image half (right) - text,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + text,ct image half (right) - text,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct image + text,ct image half (right) - text,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image + text,ct image half (right) - text,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + text,ct image half (right) - text,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (left) - text,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + text,ct text half (left) - text,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + text,ct text half (left) - text,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + text,ct text half (left) - text,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + text,ct text half (left) - text,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + text,ct text half (left) - text,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + text,ct text half (left) - text,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (left) - text,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + text,ct text half (left) - text,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + text,ct text half (left) - text,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + text,ct text half (left) - text,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (left) - text,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + text,ct text half (left) - text,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + text,ct text half (left) - text,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (left) - text,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (right) - text,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + text,ct text half (right) - text,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + text,ct text half (right) - text,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + text,ct text half (right) - text,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + text,ct text half (right) - text,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + text,ct text half (right) - text,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + text,ct text half (right) - text,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (right) - text,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + text,ct text half (right) - text,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + text,ct text half (right) - text,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + text,ct text half (right) - text,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
