"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variable,Opacity,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
branding 2,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.9,ct full-width image with text + text,ct full-width image with text left & right - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with text + text,ct text half (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with left text,ct text half (left) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with left text,ct text half (left) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct full-width image with left text,ct text half (left) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with left text,ct text half (left) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with left text,ct text half (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with left text,ct text half (left) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with left text,ct text half (left) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with left text,ct text half (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with left text,ct text half (left) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with left text,ct text half (left) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with left text,ct text half (left) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with left text,ct text half (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with left text,ct text half (left) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with left text,ct text half (left) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with left text,ct text half (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,opacity 0.9 - 0.4,ct full-width image with left text,ct full-width image with text left - gradient,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with right text,ct text half (right) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct full-width image with right text,ct text half (right) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct full-width image with right text,ct text half (right) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with right text,ct text half (right) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with right text,ct text half (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with right text,ct text half (right) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with right text,ct text half (right) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with right text,ct text half (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with right text,ct text half (right) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with right text,ct text half (right) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct full-width image with right text,ct text half (right) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with right text,ct text half (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct full-width image with right text,ct text half (right) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct full-width image with right text,ct text half (right) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct full-width image with right text,ct text half (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,opacity 0.9 - 0.4,ct full-width image with right text,ct full-width image with text right - gradient,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + image carousel,ct image carousel (variant 1) image half (right) - pagination (active),pagination light (active),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,opacity 0.4,ct text + image carousel,ct image carousel (variant 1) image half (right) - pagination (inactive),pagination light (inactive),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
